row_index,id,user_id,trial_index,valence,arousal,centroid_x,centroid_y,inner_radius,outer_radius,radius_std,roundness,bbox_w,bbox_h,bbox_area,aspect_ratio,eccentricity,closure_dist,closure_ratio,linearity,path_length,area,circularity,n_points,duration,mean_speed,median_speed,max_speed,min_speed,speed_std,speed_cv,speed_skew,speed_kurtosis,accel_mean,accel_std,jerk_mean,jerk_std,early_speed_mean,late_speed_mean,early_late_speed_ratio,curvature_mean,curvature_std,curvature_abs_mean,direction_change_count,stroke_count,pause_count
25,26,dRaKMNue,9.0,9.0,3.0,555.7362896397201,215.40530954194617,6.909260555273137,20.761144540972484,3.88978846691803,0.3327976712284619,22.487084529257345,34.392002657100306,773.3758708806578,0.6538463244918026,0.7091098942487698,7.123358831895429,0.3431101217872336,0.7326264187445662,98.49804955151133,450.5535079948604,0.583580777135117,367,3049.9999999928987,0.032294442475980546,0.0,0.5324109480414082,0.0,0.09617103333198242,2.977943756220935,3.0130062652815965,11.249571853019905,0.0,0.14212915046113858,1.2200253017858864e-18,0.2662017836997316,0.33632957337229297,0.2829890557556244,1.1884854839660157,0.7853661197154871,0.0,0.7853661197154871,1,1,0
26,27,0q53JGdD,6.0,-7.0,-5.0,185.21398153531683,444.1514913746388,62.43074358856294,162.5341248395621,30.166324582163142,0.3841085289023982,229.50083414713544,207.19350179036462,47551.08149075468,1.1076642470155316,0.38247926212373207,15.014323231897736,0.09237643631279534,0.9815228744290183,731.3720594636726,39305.75317153707,0.923398695303528,519,4316.666666656616,0.1694298207255696,0.0,1.100614361538146,0.0,0.22901452283855453,1.351677773474694,1.2419083358918308,3.762128850471055,-4.3114195478824846e-05,0.39456715809289994,-3.417360216276341e-05,0.7794901545931865,0.2709702870600826,0.10786232472358696,2.512163311806652,0.0590761122938245,0.04942359649856345,0.0590761122938245,0,1,0
28,29,dRaKMNue,10.0,-1.0,-7.0,266.8154635379673,487.05192758297045,6.223196387868864,22.298357478472923,5.133538698917353,0.2790876589846048,31.085123341028947,29.100944888057484,904.6064611857527,1.0681826126472524,0.7111534692799628,6.905078781516073,0.30966759718433573,0.9491648175771324,113.70113982171503,647.1775390766561,0.6290767921153458,355,2949.9999999931315,0.038542759261688056,0.0,0.8171214595409565,0.0,0.10717311596001804,2.7806290471411406,3.380590274060939,16.67975920019143,-6.290215436969726e-19,0.1612970419939508,-3.627149086133324e-18,0.2912754523972261,0.2222259522001781,0.2991824193896012,0.7427749594331365,0.0,0.0,0.0,0,1,0
29,30,0q53JGdD,7.0,2.0,3.0,370.00275412521796,254.69923181048895,47.810293448851375,99.80960119661123,16.30002321968888,0.4790149732656646,152.46195475260413,145.3925577799479,22166.8335656118,1.0486228255462413,0.4587650347778569,8.785514942693505,0.08802274367760718,0.9280137678390719,491.36023140830684,17864.804424937814,0.9298397817969882,472,3924.9999999908614,0.1251873201043187,0.0,0.8380947961583026,0.0,0.17577307867091765,1.404080529277612,1.3498495254081857,4.194668223986,-1.6535236536970417e-18,0.3033186415338861,-1.2191148351427626e-17,0.6033986944073201,0.2257093272472233,0.20129528458586474,1.1212791518312648,0.05969547813461036,0.07124630939968082,0.05969547813461036,0,1,0
30,31,0q53JGdD,8.0,-3.0,-9.0,302.3241672849359,508.3929350412437,64.58793242584274,99.7869540758325,9.022207860007917,0.6472582816463115,168.0591837565104,166.50675455729174,27982.98926084407,1.0093235208586357,0.4307348225845569,21.386807720709587,0.21432468721769793,0.9028971522476178,578.5224980758766,22977.81620555371,0.8627363756947887,591,4916.666666655219,0.11766559282926581,0.0,0.7543251862013636,0.0,0.1545992421188371,1.3138865695697677,1.2718348167637175,4.2009081457514705,4.7123218362697645e-20,0.27318061546817546,-0.00018517971750768683,0.5432927721587423,0.3618131012790182,0.17865874196542583,2.025151818192126,0.050617449297656325,0.05069509938279871,0.050617449297656325,0,1,0
31,32,0q53JGdD,9.0,-3.0,-6.0,261.2466265647726,480.96933060684574,63.1724420473265,81.02343517011944,5.616990492093578,0.7796811121953492,134.46461995442706,141.52984619140625,19030.75698033596,0.9500796020973264,0.6191852045019023,7.013980816566121,0.08656730983868233,0.7907037979362636,458.43211560700774,15565.2522919178,0.9307133836430536,487,4049.9999999905704,0.11319311496495682,0.0,1.0442142708230118,0.0,0.14911511836534191,1.3173514874248853,1.3364376497912875,5.58998409407396,0.0,0.26363784383411004,-0.0003659082838334901,0.5216759090000402,0.3435483368066918,0.1444600382525298,2.378138361473915,0.03764329905759795,0.08366384729378347,0.03764329905759795,0,1,0
32,33,WvmuvWmO,1.0,4.0,-7.0,323.2460076850873,373.05198104319993,132.4750321660865,231.12439794452342,33.62359263212582,0.573176321254861,369.93460287944794,362.0914462650688,133950.1553801132,1.0216607066951744,0.5091155430087486,20.471171462800523,0.08857209210649496,0.8818301084744795,1175.2166213502944,103528.12201704457,0.9419597587147752,256,2125.0000000006185,0.5530431159293895,0.5709810776039823,1.0522809196234415,0.0,0.22422710311885635,0.4054423546020322,-0.24061111273578806,2.6190410004287017,0.00043665532217629626,0.065073773558715,0.00043838123254062944,0.10278147971462225,0.37231190156099786,0.2521672986498287,1.476442136281395,0.09740351513719224,0.09365900784540836,0.09740351513719224,4,1,0
33,34,WvmuvWmO,2.0,-6.0,4.0,222.87580922702577,216.28394513993865,69.51364388927713,116.71501434541534,13.014002930636746,0.5955844179871592,192.15685709858388,205.2287527923021,39436.11212283099,0.9363057295049326,0.5083417599104897,12.874348276234635,0.11030584495438868,0.8840074773619372,615.2934304370585,28482.20637888275,0.9454072681902962,149,1233.3333333326154,0.49888656521952696,0.551806823420085,0.8075016505379917,0.0,0.1663711674662188,0.3334849624443382,-1.2579868236247187,4.855074851722085,0.0010671036008483802,0.07199078792194531,-0.00012678191301611504,0.12149697451178064,0.38573157718229023,0.3184592763440703,1.2112392214517167,0.11182233059754994,0.1014837185469819,0.11182233059754994,4,1,0
35,36,0q53JGdD,10.0,-5.0,9.0,198.15659365145802,89.73756555166554,64.10580134816627,121.70511764111565,19.96360528857242,0.5267305318844653,191.45222981770831,185.77542622884116,35567.11959684682,1.0305573439076618,0.48551099950613885,7.7138603070864065,0.06338156074778266,0.8891183866256195,610.2071757067613,28457.993391200434,0.9604162893451531,441,3666.666666683741,0.16642013882834175,0.0,0.7356227012124938,0.0,0.21158249945632895,1.2713755735690802,0.8400626768419849,2.304590545665333,-1.0115927331436506e-18,0.37533366620657366,2.0278046111875004e-18,0.7440187040266288,0.33831975672308484,0.18117811803385617,1.8673220202996268,0.0434697655069055,0.030245691004400502,0.0434697655069055,0,1,0
36,37,WvmuvWmO,3.0,-4.0,3.0,225.95012833217172,207.63121278274332,71.49329915795131,121.00844562149521,15.980615179725088,0.5908124742100784,190.19606794498907,198.0392108464052,37666.2792019149,0.9603960101239793,0.5050922647208698,11.691797620199319,0.09661968270190273,0.8910093259542509,619.7322993752966,30348.154653729405,0.9929648833440924,162,1341.6666666658857,0.461912272826577,0.47708203462510435,0.8942553259292977,0.0,0.1968073390761286,0.4260708161569439,-0.52720395561491,3.2737653757867875,0.00109612672453177,0.06847742828096952,0.00040544132046254087,0.11753326527829584,0.2824774997080534,0.3129304308209912,0.9026817758988276,0.11647142554143924,0.11681757571339664,0.11647142554143924,5,1,0
